,Start Time,Start Location,End Time,End Location,Total Ride Time,start station latitude,start station longitude,end station latitude,end station longtiude,Day of Week,Hour
20,2019-05-07 22:44:30,Sullivan St & Washington Sq,2019-05-07 22:52:53,E 2 St & Avenue B,0 days 00:08:23.000000000,40.73047747,-73.99906065,40.72217444,-73.98368779,Tuesday,22
8,2019-05-09 19:44:08,W 38 St & 8 Ave,2019-05-09 20:08:18,E 2 St & Avenue B,0 days 00:24:10.000000000,40.75466591,-73.99138152,40.72217444,-73.98368779,Thursday,19
19,2019-05-10 21:14:26,Broadway & E 14 St,2019-05-10 21:25:54,E 2 St & Avenue B,0 days 00:11:28.000000000,40.73454567,-73.99074142,40.72217444,-73.98368779,Friday,21
67,2019-05-15 18:56:22,W 31 St & 7 Ave,2019-05-15 19:15:51,E 6 St & Avenue B,0 days 00:19:29.000000000,40.749156,-73.9916,40.72453734,-73.98185424,Wednesday,18
13,2019-05-15 19:17:55,E 6 St & Avenue B,2019-05-15 19:19:41,E 2 St & Avenue B,0 days 00:01:46.000000000,40.72453734,-73.98185424,40.72217444,-73.98368779,Wednesday,19
56,2019-05-18 15:48:24,E 2 St & Avenue B,2019-05-18 16:19:48,South St & Gouverneur Ln,0 days 00:31:24.000000000,40.72217444,-73.98368779,40.70355377,-74.00670227,Saturday,15
18,2019-05-18 17:28:26,Peck Slip & Front St,2019-05-18 17:47:52,E 2 St & Avenue B,0 days 00:19:26.000000000,40.707873,-74.00166999999999,40.72217444,-73.98368779,Saturday,17
17,2019-05-21 18:38:03,Broadway & W 38 St,2019-05-21 19:01:00,E 2 St & Avenue B,0 days 00:22:57.000000000,40.75299641,-73.98721619,40.72217444,-73.98368779,Tuesday,18
42,2019-05-22 17:22:53,W 38 St & 8 Ave,2019-05-22 17:50:10,Suffolk St & Stanton St,0 days 00:27:17.000000000,40.75466591,-73.99138152,40.72066442,-73.98517977,Wednesday,17
7,2019-05-24 17:03:23,W 38 St & 8 Ave,2019-05-24 17:25:31,E 2 St & Avenue B,0 days 00:22:08.000000000,40.75466591,-73.99138152,40.72217444,-73.98368779,Friday,17
12,2019-05-24 20:15:08,E 6 St & Avenue B,2019-05-24 20:17:07,E 2 St & Avenue B,0 days 00:01:59.000000000,40.72453734,-73.98185424,40.72217444,-73.98368779,Friday,20
